epoch;acc_x;acc_y
1907.8268;-0.00463;0.12989
1908.0435;-0.0222;0.11693
1908.2602;-0.05066;0.12053
1908.4769;-0.10584;0.07338
1908.6936;-0.16312;0.05832
1908.9103;-0.20652;0.05204
1909.127;-0.21485;-0.0223
1909.3437;-0.18624;-0.06754
1909.5604;-0.17113;-0.09831
1909.7771;-0.17499;-0.14966
1909.9938;-0.18609;-0.18042
1910.2105;-0.14155;-0.18778
1910.4272;-0.06564;-0.20644
1910.6439;0.02248;-0.21002
1910.8606;0.07079;-0.19403
1911.0773;0.08483;-0.196
1911.294;0.10079;-0.20394
1911.5107;0.14754;-0.20147
1911.7274;0.21704;-0.20431
1911.9441;0.25526;-0.2004
1912.1608;0.23682;-0.17378
1912.3775;0.18977;-0.12783
1912.5942;0.1657;-0.07899
1912.8109;0.17133;-0.02636
1913.0276;0.17065;0.00271
1913.2443;0.1533;0.02573
1913.461;0.09198;0.05545
1913.6777;0.01662;0.06401
1913.8944;-0.03726;0.08109
1914.1111;-0.05855;0.13494
1914.3278;-0.06892;0.18226
1914.5445;-0.11134;0.24013
1914.7612;-0.17921;0.29004
1914.9779;-0.25161;0.28246
1915.1946;-0.25945;0.25975
1915.4113;-0.23438;0.23046
1915.628;-0.21113;0.19638
1915.8447;-0.22189;0.18277
1916.0614;-0.23829;0.18403
1916.2781;-0.23295;0.1747
1916.4948;-0.18043;0.15623
1916.7115;-0.08225;0.10566
1916.9282;-0.00751;0.00952
1917.1449;0.03928;-0.08717
1917.3616;0.05528;-0.13915
1917.5783;0.09857;-0.18201
1917.795;0.19392;-0.17754
1918.0117;0.29412;-0.16441
1918.2284;0.32951;-0.19614
1918.4451;0.30048;-0.22868
1918.6618;0.27134;-0.26995
1918.8785;0.25776;-0.30658
1919.0952;0.25618;-0.32411
1919.3119;0.2231;-0.3006
1919.5286;0.14267;-0.24661
1919.7453;0.03535;-0.18458
1919.962;-0.06073;-0.1374
1920.1787;-0.10679;-0.11759
1920.3954;-0.14825;-0.10821
1920.6121;-0.19239;-0.10799
1920.8288;-0.24969;-0.07882
1921.0455;-0.28612;-0.03371
1921.2622;-0.30202;0.00999
1921.4789;-0.28901;0.07365
1921.6956;-0.25288;0.13983
1921.9123;-0.20994;0.18481
1922.129;-0.15847;0.20416
1922.3457;-0.10398;0.19455
1922.5624;-0.03819;0.18189
1922.7791;0.02309;0.17424
1922.9958;0.09033;0.19329
1923.2125;0.15198;0.23469
1923.4292;0.19516;0.2585
1923.6459;0.22146;0.26538
1923.8626;0.24274;0.25584
1924.0793;0.26582;0.22653
1924.296;0.29848;0.18164
1924.5127;0.29092;0.15067
1924.7294;0.26017;0.13253
1924.9461;0.20285;0.11289
1925.1628;0.13638;0.09717
1925.3795;0.04501;0.08043
1925.5962;-0.02511;0.0301
1925.8129;-0.09831;-0.01942
1926.0296;-0.16396;-0.05814
1926.2463;-0.23088;-0.11363
1926.463;-0.26098;-0.1613
1926.6797;-0.27717;-0.19052
1926.8964;-0.26918;-0.22199
1927.1131;-0.24194;-0.22989
1927.3298;-0.23562;-0.22595
1927.5465;-0.22879;-0.2193
1927.7632;-0.20329;-0.23098
1927.9799;-0.14373;-0.26983
1928.1966;-0.07962;-0.28227
1928.4133;-0.01627;-0.28736
1928.63;0.03892;-0.26429
1928.8467;0.08625;-0.18672
1929.0634;0.15137;-0.12159
1929.2801;0.21379;-0.08779
1929.4968;0.28147;-0.06203
1929.7135;0.30959;-0.04999
1929.9302;0.31097;-0.05112
1930.1469;0.29157;-0.02376
1930.3636;0.2716;0.04701
1930.5803;0.25247;0.11242
1930.797;0.20653;0.1776
1931.0137;0.1402;0.23602
1931.2304;0.03899;0.24925
1931.4471;-0.04741;0.22493
1931.6638;-0.12284;0.20719
1931.8805;-0.18793;0.19989
1932.0972;-0.25019;0.19382
1932.3139;-0.29872;0.22141
1932.5306;-0.32256;0.25791
1932.7473;-0.33227;0.25539
1932.964;-0.32579;0.23627
1933.1807;-0.30516;0.20763
1933.3974;-0.24895;0.16778
1933.6141;-0.17469;0.09902
1933.8308;-0.10824;0.05346
1934.0475;-0.06804;0.03565
1934.2642;-0.02275;0.02864
1934.4809;0.07416;0.04111
1934.6976;0.18604;0.04231
1934.9143;0.2742;-0.00719
1935.131;0.30736;-0.0934
1935.3477;0.31241;-0.15232
1935.5644;0.3208;-0.19736
1935.7811;0.35151;-0.22994
1935.9978;0.36227;-0.2066
1936.2145;0.31988;-0.1807
1936.4312;0.22089;-0.18681
1936.6479;0.09573;-0.19442
1936.8646;0.0033;-0.20758
1937.0813;-0.0477;-0.23409
1937.298;-0.09468;-0.2506
1937.5147;-0.17246;-0.22491
1937.7314;-0.26448;-0.1982
1937.9481;-0.32934;-0.15804
1938.1648;-0.34009;-0.08822
1938.3815;-0.31236;-0.02878
1938.5982;-0.2721;-0.00276
1938.8149;-0.2473;0.01644
1939.0316;-0.23376;0.02199
1939.2483;-0.2098;0.01696
1939.465;-0.12249;0.0475
1939.6817;-0.00773;0.09586
1939.8984;0.0844;0.1608
